collection,author,repository,stars,forks,watchers,dependents,commits,branches,packages,releases,contributors,issues_open,issues_closed,pull_requests_open,pull_requests_closed,C,Java,Ruby,Assembly,C++,JavaScript,ActionScript,HTML,CSS,TSQL,Objective-C,Other,OCaml,Shell,TypeScript,Dockerfile,Go,Lex,Groovy,ANTLR,Batchfile,CoffeeScript,Tcl,Makefile,CMake,Python,PHP,Gherkin,Vim Snippet,Puppet,C#,Yacc,Vue,Swift,Roff,PowerShell,OpenSCAD,MATLAB,FreeMarker,PLpgSQL,Fortran,Csound,M,GLSL,Verilog,Lua,Perl,Awk,TeX,XSLT,Jupyter Notebook,R,Gnuplot,GAP,Scilab,Emacs Lisp,Objective-C++,Vim script,CWeb,YASnippet,Clojure,Inno Setup,Reason,Common Lisp,Rust,Starlark,Cuda,PureBasic,Scala
Software in science,picongpu,ComputationalRadiationPhysics,398,160,50,,7078,3,0,29,32,372.0,570.0,16,2303,,,,,85.0,,,,,,,,,6.0,,0.0,,,,,,,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
Software in science,av3-fc,psas,343,72,108,,371,5,0,4,7,6.0,14.0,0,3,90.0,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software in science,astropy,astropy,2454,1226,150,14600.0,28665,20,0,105,339,991.0,3192.0,76,6177,4.0,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
Software in science,emcee,dfm,1039,373,94,516.0,829,6,0,11,48,19.0,192.0,3,131,,,,,,,,,,,,,,0.0,,,,,,,,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
Software in science,atmosphere,cyverse,252,101,52,,8161,9,0,59,24,33.0,33.0,1,669,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,94.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software in science,khmer,dib-lab,610,298,69,,6672,131,0,57,68,298.0,719.0,43,841,,,,,27.0,,,,,,,,,0.0,,,,,,,,,,1.0,,70.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Software in science,sympy,sympy,7023,3035,304,19400.0,43239,4,0,71,857,3297.0,6729.0,419,8940,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,
Software in science,spack,spack,1582,974,87,,15640,135,0,27,581,1111.0,2866.0,341,12634,0.0,,,,,,,,,,,,,1.0,,0.0,,,,,,,,0.0,0.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software in science,ipython,ipython,14207,4002,813,12600.0,24478,18,0,107,652,1310.0,5053.0,26,5917,,,,,,,,,,,,0.0,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,
Software in science,rplos,ropensci,277,115,68,,578,3,0,21,10,0.0,107.0,0,20,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,,
Software in science,scikit-ued,LaurentRDC,34,7,7,,5214,3,0,13,1,0.0,2.0,0,31,,,,,,,,,,,,,,,,,,,,,0.0,,,,,97.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software in science,sage,sagemath,1199,328,125,,85295,2,485,904,518,0.0,32.0,0,61,,,,,0.0,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
Software in science,gap,gap-system,373,102,31,,8589,8,0,106,41,336.0,878.0,42,2790,19.0,,,,3.0,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,0.0,,,,,73.0,,,,,,,,,,,,,,,
Software in science,Sources,Singular,92,95,25,,22195,3,0,5,51,58.0,60.0,1,877,7.0,1.0,,,43.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,40.0,2.0,,,,,,,,,,,,,
Software in science,arb,fredrik-johansson,217,48,24,,2294,16,0,31,23,93.0,88.0,3,125,97.0,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software in science,picard,broadinstitute,567,291,151,,2849,92,0,260,90,144.0,419.0,21,901,,98.0,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Text editors,brackets,adobe,31394,6632,1600,,17845,178,0,114,349,2510.0,7001.0,160,5419,,,0.0,,,83.0,,13.0,2.0,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Text editors,lime,limetext,14384,1097,785,,1103,2,0,0,48,21.0,380.0,0,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Text editors,textmate,textmate,12872,1746,100,,5529,4,0,299,83,,,5,434,0.0,,1.0,,41.0,,,,0.0,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,
Text editors,neovim,neovim,36953,2754,978,,15723,3,0,26,536,894.0,4676.0,241,6585,37.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,43.0,,,,,,,,,,,
Text editors,overleaf,overleaf,6824,794,201,,550,3,0,7,26,142.0,500.0,2,97,,,,,,7.0,,,,,,,,9.0,,6.0,,,,,,76.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Text editors,slap,slap-editor,5513,235,152,,756,17,0,117,15,97.0,137.0,18,161,,,,,,96.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Text editors,Caret,thomaswilburn,1384,203,106,,946,4,0,53,48,18.0,578.0,1,134,,,,,,99.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
